Index,Term_id,Term,Results_num,Wiki_top,Google_widget,video_count,PAA_count,Definition,Top_stories,TC_count,Wiki_pics_count,References_count,Wiki_word_count,Lang,Page_score
1,12,Fungus,74600000,1,1,3,0,0,0,46,28,253,412,ar,7.142857143
2,12,Fungus,6.79E+09,1,1,0,4,0,1,18,4,11,749,en,5.714285714
3,12,Fungus,2760000,1,1,3,0,0,0,43,4,0,77,hw,5.714285714
4,12,Fungus,42300000,1,1,3,4,0,0,13,6,0,523,ru,7.142857143
5,13,Mammal,6120000,1,1,3,0,0,0,42,33,315,547,ar,5.714285714
6,13,Mammal,4.87E+09,1,1,3,4,1,4,46,2,8,755,en,8.571428571
7,13,Mammal,470000,1,1,3,0,0,0,53,59,0,257,hw,4.285714286
8,13,Mammal,6830000,1,1,3,4,0,0,21,13,0,483,ru,5.714285714
9,16,Solution,4.20E+07,1,1,3,0,0,0,2,0,0,75,ar,4.285714286
10,16,Solution,7.56E+09,0,1,3,4,1,0,13,4,0,137,en,7.142857143
11,16,Solution,773000,1,0,3,0,0,0,12,2,0,118,hw,2.857142857
12,16,Solution,37600000,1,1,3,4,0,0,6,0,0,289,ru,5.714285714
13,20,Atom,9970000,1,1,4,0,0,0,9,0,37,249,ar,4.285714286
14,20,Atom,6.27E+09,0,1,0,4,0,1,31,6,1,426,en,4.285714286
15,20,Atom,2030000,1,1,3,0,0,0,23,6,0,293,hw,4.285714286
16,20,Atom,9630000,1,1,3,0,0,0,9,5,0,251,ru,4.285714286
17,28,Energy,35800000,1,1,3,0,0,1,28,6,19,328,ar,5.714285714
18,28,Energy,7.82E+09,0,1,0,4,0,1,30,3,6,217,en,5.714285714
19,28,Energy,6940000,1,1,3,0,0,1,27,7,0,293,hw,5.714285714
20,28,Energy,4.00E+07,0,1,0,0,0,0,9,1,0,59,ru,5.714285714
21,29,Weight,3.65E+09,1,1,3,0,0,0,17,6,21,412,ar,4.285714286
22,29,Weight,7.66E+09,0,1,3,4,1,1,5,0,3,424,en,5.714285714
23,29,Weight,25600000,1,1,3,0,0,0,6,3,0,118,hw,4.285714286
24,29,Weight,201000000,1,1,3,0,0,1,8,1,0,212,ru,5.714285714
25,35,Solar system,2920000,1,1,3,0,0,0,44,21,255,387,ar,5.714285714
