,termid,term,results,time,lang,top,wiki_top,google_widget,map_widget,videos,video_count,recipe,people_ask,people_ask_count,dict,top_stories,top_stories_count,original_name,page_score
1,12,Fungus,74600000,0.49,ar,<U+0641><U+0637><U+0631> - <U+0648><U+064A><U+0643><U+064A><U+0628><U+064A><U+062F><U+064A><U+0627>,1,1,0,"""<U+0641><U+0637><U+0631> <U+0628><U+0627><U+0631><U+064A><U+0633>"".. <U+0641><U+0637><U+0631> <U+0641><U+0631><U+064A><U+062F> <U+0630><U+0648> <U+0637><U+0639><U+0645> <U+0644><U+0630><U+064A><U+0630> <U+062A><U+0646><U+062A><U+062C><U+0647> <U+0627><U+0644><U+0639><U+0627><U+0635><U+0645><U+0629> <U+0627><U+0644><U+0641><U+0631><U+0646><U+0633><U+064A><U+0629>YouTube · <U+0641><U+0631><U+0627><U+0646><U+0633> 24 / FRANCE 24 Arabic26<U+200F>/10<U+200F>/2021, <U+0645><U+0627><U+0630><U+0627> <U+062A><U+0639><U+0631><U+0641> <U+0639><U+0646> <U+0627><U+0646><U+062A><U+0627><U+062C> ""<U+0641><U+0637><U+0631> <U+0627><U+0644><U+0645><U+062D><U+0627><U+0631>"" <U+0641><U+064A> <U+0645><U+0635><U+0631> <U+061F>YouTube · Al Aan TV <U+062A><U+0644><U+0641><U+0632><U+064A><U+0648><U+0646> <U+0627><U+0644><U+0622><U+0646>25<U+200F>/02<U+200F>/2021, <U+0641><U+0637><U+0631> <U+0645><U+0642><U+0644><U+0649> <U+0628><U+0627><U+0644><U+0628><U+0635><U+0644> , <U+0641><U+0637><U+0631> <U+0628><U+0632><U+064A><U+062A> <U+0627><U+0644><U+0632><U+064A><U+062A><U+0648><U+0646> <U+0648><U+0627><U+0644><U+0628><U+0635><U+0644> , <U+0633><U+0647><U+0644><U+0629> <U+0633><U+0631><U+064A><U+0639><U+0629> ...YouTube · <U+0645><U+0637><U+0628><U+062E> <U+0645><U+0646><U+0627><U+0644> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A>27<U+200F>/06<U+200F>/2020",1,0,,1,0,,0,<U+0641><U+0637><U+0631>,7.142857143
2,12,Fungus,6.79E+09,0.77,en,Fungus - Wikipedia,1,1,0,,0,1,"What is fungus in human body, How do humans get fungus, What are 5 examples of fungus, How do you get rid of fungus in your body",1,0,"Federal Way MirrorFungoSem Reviews - Legit Toenail Fungus Care Supplement?1 day agoNOLA.comAs COVID spread, other infections and fungi also multiplied in Louisiana 
hospitals9 hours agoNo Thanksgiving for bacteria or fungus: Tryptophan blockers offer new way 
to kill bad guys2 days agoThe magic of mushrooms: how they connect the plant world1 week ago",1,Fungus,5.714285714
3,12,Fungus,2760000,0.42,hw,<U+05E4><U+05D8><U+05E8><U+05D9><U+05D5><U+05EA> - <U+05D5><U+05D9><U+05E7><U+05D9><U+05E4><U+05D3><U+05D9><U+05D4>,1,1,0,"<U+05DE><U+05D5><U+05DE><U+05D7><U+05D9><U+05DD> <U+05D1><U+05D0><U+05E8><U+05E5> - <U+05E4><U+05D8><U+05E8><U+05D9><U+05D5><U+05EA> <U+05D1><U+05E8>YouTube · <U+05DE><U+05D8><U+05D9><U+05D9><U+05DC><U+05D9><U+05DD> <U+05D1><U+05D0><U+05E8><U+05E5>25 <U+05D1><U+05D0><U+05D5><U+05E7><U+05F3> 2021, <U+05DC><U+05D9><U+05E7><U+05D5><U+05D8> <U+05E4><U+05D8><U+05E8><U+05D9><U+05D5><U+05EA> - <U+05DE><U+05D8><U+05D9><U+05D9><U+05DC><U+05D9><U+05DD> <U+05D1><U+05D0><U+05E8><U+05E5>YouTube · <U+05DE><U+05D8><U+05D9><U+05D9><U+05DC><U+05D9><U+05DD> <U+05D1><U+05D0><U+05E8><U+05E5>10 <U+05D1><U+05E4><U+05D1><U+05E8><U+05F3> 2019, <U+05E4><U+05D8><U+05E8><U+05D9><U+05D5><U+05EA> : <U+05D4><U+05DE><U+05D3><U+05E8><U+05D9><U+05DA> <U+05D4><U+05DE><U+05E7><U+05D5><U+05E6><U+05E8>YouTube · <U+05E2><U+05E8><U+05D5><U+05E5> <U+05D4><U+05D0><U+05D5><U+05DB><U+05DC>1 <U+05D1><U+05D3><U+05E6><U+05DE><U+05F3> 2015",1,0,,0,0,,0,<U+05E4><U+05D8><U+05E8><U+05D9><U+05D5><U+05EA>,5.714285714
4,12,Fungus,42300000,69,ru,<U+0413><U+0440><U+0438><U+0431><U+044B> - <U+0412><U+0438><U+043A><U+0438><U+043F><U+0435><U+0434><U+0438><U+044F>,1,1,0,"<U+0413><U+0440><U+0438><U+0431><U+044B> - <U+0422><U+0430><U+0435><U+0442> <U+041B><U+0451><U+0434>YouTube · KinoMost10 <U+043C><U+0430><U+0440>. 2017 <U+0433>., <U+0413><U+0440><U+0438><U+0431><U+044B> - <U+0418><U+043D><U+0442><U+0440><U+043E>YouTube · KinoMost28 <U+0430><U+043F><U+0440>. 2016 <U+0433>., 20 <U+0421><U+044A><U+0435><U+0434><U+043E><U+0431><U+043D><U+044B><U+0445> <U+0413><U+0440><U+0438><U+0431><U+043E><U+0432> <U+0412> <U+041A><U+043E><U+0442><U+043E><U+0440><U+044B><U+0445> <U+041D><U+0435><U+043B><U+044C><U+0437><U+044F> <U+041E><U+0448><U+0438><U+0431><U+0438><U+0442><U+044C><U+0441><U+044F>! <U+0427><U+0430><U+0441><U+0442><U+044C> 1YouTube · Classy Flowers5 <U+043E><U+043A><U+0442>. 2021 <U+0433>.",1,0,"<U+041F><U+043E><U+0445><U+043E><U+0436><U+0438><U+0435> <U+0437><U+0430><U+043F><U+0440><U+043E><U+0441><U+044B><U+041F><U+043E><U+0447><U+0435><U+043C><U+0443> <U+0432><U+0440><U+0435><U+0434><U+043D><U+043E> <U+0435><U+0441><U+0442><U+044C> <U+0433><U+0440><U+0438><U+0431><U+044B>, <U+041A><U+0430><U+043A><U+0438><U+0435> <U+0433><U+0440><U+0438><U+0431><U+044B> <U+044F><U+0432><U+043B><U+044F><U+044E><U+0442><U+0441><U+044F> <U+0441><U+044A><U+0435><U+0434><U+043E><U+0431><U+043D><U+044B><U+043C><U+0438>, <U+041A><U+0430><U+043A><U+0438><U+0435> <U+0433><U+0440><U+0438><U+0431><U+044B> <U+043C><U+043E><U+0436><U+043D><U+043E> <U+0435><U+0441><U+0442><U+044C> <U+0430> <U+043A><U+0430><U+043A><U+0438><U+0435> <U+043D><U+0435><U+043B><U+044C><U+0437><U+044F>, <U+0427><U+0435><U+043C> <U+043F><U+043E><U+043B><U+0435><U+0437><U+043D><U+044B> <U+0433><U+0440><U+0438><U+0431><U+044B> <U+0434><U+043B><U+044F> <U+043E><U+0440><U+0433><U+0430><U+043D><U+0438><U+0437><U+043C><U+0430>",1,0,,0,<U+0413><U+0440><U+0438><U+0431><U+044B>,7.142857143
5,13,Mammal,6120000,0.49,ar,<U+062B><U+062F><U+064A><U+064A><U+0627><U+062A> - <U+0648><U+064A><U+0643><U+064A><U+0628><U+064A><U+062F><U+064A><U+0627>,1,1,0,"<U+0627><U+0644><U+062B><U+062F><U+064A><U+064A><U+0627><U+062A> | <U+062A><U+0639><U+0644><U+064A><U+0645> <U+0623><U+0637><U+0641><U+0627><U+0644> | <U+0627><U+0645><U+0631><U+062D> <U+0648><U+062A><U+0639><U+0644><U+0645>YouTube · <U+0627><U+0645><U+0631><U+062D> <U+0648><U+062A><U+0639><U+0644><U+0645> - Imrah wa Talam27<U+200F>/11<U+200F>/2016, <U+0627><U+0644><U+062B><U+062F><U+064A><U+064A><U+0627><U+062A> - <U+062E><U+0635><U+0627><U+0626><U+0635><U+0647><U+0627> <U+0648> <U+0623><U+0646><U+0648><U+0627><U+0639><U+0647><U+0627>YouTube · <U+0627><U+0644><U+0645><U+0639><U+0631><U+0641><U+0629> <U+0642><U+0648><U+0629>02<U+200F>/04<U+200F>/2020, <U+0623><U+0646><U+0648><U+0627><U+0639> <U+0627><U+0644><U+062B><U+062F><U+064A><U+064A><U+0627><U+062A>YouTube · <U+0642><U+0646><U+0627><U+0629> <U+0627><U+0644><U+0639><U+0644><U+0648><U+0645>05<U+200F>/02<U+200F>/2019",1,0,,1,0,,0,<U+062B><U+062F><U+064A><U+064A><U+0627><U+062A>,5.714285714
6,13,Mammal,4.87E+09,0.88,en,Mammal - Wikipedia,1,1,0,"Mammals for Kids | Learn all about the unique characteristics ...YouTube · Learn BrightNov 2, 2020, Mammals | Educational Video for KidsYouTube · Happy Learning EnglishMay 12, 2015, Mammals for kids - Vertebrate animals - Natural Science For ...YouTube · Smile and Learn - EnglishOct 4, 2018",1,0,"People also askWhat are 5 mammals examples, What exactly is a mammal, Is a human a mammal, What is an animal vs mammal",1,1,"Bangor Daily NewsThe Gulf of Maine has the most marine mammal diversity on the east coast, study finds3 hours agoMaine PublicThe Gulf of Maine has the most marine mammal diversity on the east coast, study finds21 hours agoThe ConversationExtinction crisis: native mammals are disappearing in Northern Australia, but few people are watching6 days agoFemale mammals that suckle another’s young have more offspring1 week ago",4,Mammal,8.571428571
7,13,Mammal,470000,0.48,hw,<U+05D9><U+05D5><U+05E0><U+05E7><U+05D9><U+05DD> - <U+05D5><U+05D9><U+05E7><U+05D9><U+05E4><U+05D3><U+05D9><U+05D4>,1,1,0,"<U+05E2><U+05DC> <U+05D9><U+05D5><U+05E0><U+05E7><U+05D9><U+05DD> <U+05D9><U+05DE><U+05D9><U+05D9><U+05DD>YouTube · <U+05D0><U+05D5><U+05E0><U+05D9><U+05D1><U+05E8><U+05E1><U+05D9><U+05D8><U+05EA> <U+05D7><U+05D9><U+05E4><U+05D4> - University of Haifa3 <U+05D1><U+05E0><U+05D5><U+05D1><U+05F3> 2009, 810 - <U+05D0><U+05E4><U+05D9><U+05D5><U+05DF> <U+05DE><U+05D7><U+05DC><U+05E7><U+05EA> <U+05D4><U+05D9><U+05D5><U+05E0><U+05E7><U+05D9><U+05DD>YouTube · <U+05D4><U+05DE><U+05DB><U+05DC><U+05DC><U+05D4> <U+05D4><U+05D0><U+05E7><U+05D3><U+05DE><U+05D9><U+05EA> <U+05D0><U+05D7><U+05D5><U+05D4> - Achva Academic College18 <U+05D1><U+05E0><U+05D5><U+05D1><U+05F3> 2018, Kate Slabosky: <U+05E9><U+05DC><U+05D5><U+05E9> <U+05D4><U+05D3><U+05E8><U+05DB><U+05D9><U+05DD> <U+05D1><U+05D4><U+05DF> <U+05D9><U+05D5><U+05E0><U+05E7><U+05D9><U+05DD> <U+05D9><U+05D5><U+05DC><U+05D3><U+05D9><U+05DD> - <U+05E7><U+05D9><U+05D9><U+05D8> <U+05E1><U+05DC><U+05D1><U+05D5><U+05E1><U+05E7><U+05D9>TED1 <U+05D1><U+05DE><U+05E8><U+05E5> 2019",1,0,,0,0,,0,<U+05D9><U+05D5><U+05E0><U+05E7><U+05D9><U+05DD>,4.285714286
8,13,Mammal,6830000,50,ru,<U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435> - <U+0412><U+0438><U+043A><U+0438><U+043F><U+0435><U+0434><U+0438><U+044F>,1,1,0,"16. <U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435>. <U+0427><U+0430><U+0441><U+0442><U+044C> 1YouTube · <U+0414><U+0435><U+0442><U+0438> <U+0438> <U+041D><U+0430><U+0443><U+043A><U+0430>28 <U+0438><U+044E><U+043D>. 2016 <U+0433>., <U+041A><U+043B><U+0430><U+0441><U+0441> <U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435> <U+0438><U+043B><U+0438> <U+0417><U+0432><U+0435><U+0440><U+0438> | <U+0411><U+0438><U+043E><U+043B><U+043E><U+0433><U+0438><U+044F> 7 <U+043A><U+043B><U+0430><U+0441><U+0441> #40 ...YouTube · <U+0418><U+041D><U+0424><U+041E><U+0423><U+0420><U+041E><U+041A>26 <U+0441><U+0435><U+043D><U+0442>. 2017 <U+0433>., <U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435>. <U+0412><U+0438><U+0434><U+0435><U+043E><U+0443><U+0440><U+043E><U+043A> <U+043F><U+043E> <U+043E><U+043A><U+0440><U+0443><U+0436><U+0430><U+044E><U+0449><U+0435><U+043C><U+0443> <U+043C><U+0438><U+0440><U+0443> 1 <U+043A><U+043B><U+0430><U+0441><U+0441>YouTube · InternetUrok.ru22 <U+0438><U+044E><U+043B>. 2016 <U+0433>.",1,0,"<U+041F><U+043E><U+0445><U+043E><U+0436><U+0438><U+0435> <U+0437><U+0430><U+043F><U+0440><U+043E><U+0441><U+044B><U+041A><U+0442><U+043E> <U+043E><U+0442><U+043D><U+043E><U+0441><U+0438><U+0442><U+0441><U+044F> <U+043A> <U+0433><U+0440><U+0443><U+043F><U+043F><U+0435> <U+043C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0445>, <U+041A><U+0442><U+043E> <U+0438><U+0437> <U+0436><U+0438><U+0432><U+043E><U+0442><U+043D><U+044B><U+0445> <U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435>, <U+0427><U+0442><U+043E> <U+0445><U+0430><U+0440><U+0430><U+043A><U+0442><U+0435><U+0440><U+043D><U+043E> <U+0434><U+043B><U+044F> <U+0432><U+0441><U+0435><U+0445> <U+043C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0445>, <U+041F><U+043E><U+0447><U+0435><U+043C><U+0443> <U+043B><U+044E><U+0434><U+0438> <U+043E><U+0442><U+043D><U+043E><U+0441><U+044F><U+0442><U+0441><U+044F> <U+043A> <U+043A><U+043B><U+0430><U+0441><U+0441><U+0443> <U+043C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0445>",1,0,,0,<U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435>,5.714285714
9,16,Solution,4.20E+07,0.44,ar,<U+0645><U+062D><U+0644><U+0648><U+0644> - <U+0648><U+064A><U+0643><U+064A><U+0628><U+064A><U+062F><U+064A><U+0627>,1,1,0,"<U+0627><U+0646><U+0648><U+0627><U+0639> <U+0627><U+0644><U+0645><U+062D><U+0627><U+0644><U+064A><U+0644> <U+0627><U+0644><U+0637><U+0628><U+064A><U+0647> <U+0648><U+0627><U+0645><U+062A><U+0647> <U+0627><U+0633><U+062A><U+062E><U+062F><U+0645> <U+0631><U+064A><U+0646><U+062C><U+0631> <U+0648><U+0627><U+0645><U+062A><U+0647> <U+0627><U+0633><U+062A><U+062E><U+062F><U+0645> <U+0645><U+062D><U+0644><U+0648><U+0644> <U+0645><U+0644><U+062D> ...YouTube · Microbiology School22<U+200F>/08<U+200F>/2019, <U+0627><U+0644><U+0645><U+062D><U+0627><U+0644><U+064A><U+0644> <U+0627><U+0644><U+0648><U+0631><U+064A><U+062F><U+064A><U+0629> | (1) <U+0634><U+0631><U+062D> <U+0627><U+0646><U+0648><U+0627><U+0639> <U+0645><U+062D><U+0627><U+0644><U+064A><U+0644> <U+0627><U+0644><U+0645><U+0644><U+062D> (Saline Solutions ...YouTube · <U+0625><U+064A><U+062C><U+064A> <U+0646><U+064A><U+0631><U+0633><U+0648><U+0644><U+0648><U+062C><U+064A> - EgyNursology18<U+200F>/05<U+200F>/2020, <U+062A><U+062C><U+0631><U+0628><U+0629> <U+062A><U+062D><U+0636><U+064A><U+0631> <U+0645><U+062D><U+0644><U+0648><U+0644> <U+0627><U+0644><U+0641><U+0635><U+0644> <U+0627><U+0644><U+062F><U+0631><U+0627><U+0633><U+064A> <U+0627><U+0644><U+0627><U+0648><U+0644>YouTube · <U+0623>. <U+0645><U+0639><U+0627><U+0630> <U+0627><U+0644><U+0634><U+0644><U+0627><U+0644>01<U+200F>/12<U+200F>/2018",1,0,,0,0,,0,<U+0645><U+062D><U+0644><U+0648><U+0644>,4.285714286
10,16,Solution,7.56E+09,0.8,en,Solution Definition & Meaning - Merriam-Webster,0,1,0,"What is a solution? | Solutions | Chemistry | Don't MemoriseYouTube · Don't MemoriseMar 4, 2020, What is a Solution?YouTube · Ben's Chem VideosJun 3, 2011, Solutions Overview and TypesYouTube · Tyler DeWittMay 6, 2021",1,0,"People also askWhat is a simple definition of solution, What is a solution example, What is the best solution meaning, What is the another word for solution",1,1,,0,Solution,7.142857143
