"","termid","original_name","lang"
"1",12,"<U+0413><U+0440><U+0438><U+0431><U+044B>","ru"
"2",12,"<U+05E4><U+05D8><U+05E8><U+05D9><U+05D5><U+05EA>","hw"
"3",12,"<U+0641><U+0637><U+0631>","ar"
"4",12,"Fungus","en"
"5",13,"<U+041C><U+043B><U+0435><U+043A><U+043E><U+043F><U+0438><U+0442><U+0430><U+044E><U+0449><U+0438><U+0435>","ru"
"6",13,"<U+05D9><U+05D5><U+05E0><U+05E7><U+05D9><U+05DD>","hw"
"7",13,"<U+062B><U+062F><U+064A><U+064A><U+0627><U+062A>","ar"
"8",13,"Mammal","en"
"9",16,"<U+0420><U+0430><U+0441><U+0442><U+0432><U+043E><U+0440>","ru"
"10",16,"<U+05EA><U+05DE><U+05D9><U+05E1><U+05D4>","hw"
"11",16,"<U+0645><U+062D><U+0644><U+0648><U+0644>","ar"
"12",16,"Solution","en"
"13",20,"<U+0410><U+0442><U+043E><U+043C>","ru"
"14",20,"<U+05D0><U+05D8><U+05D5><U+05DD>","hw"
"15",20,"<U+0630><U+0631><U+0629>","ar"
"16",20,"Atom","en"
"17",28,"<U+042D><U+043D><U+0435><U+0440><U+0433><U+0438><U+044F>","ru"
"18",28,"<U+05D0><U+05E0><U+05E8><U+05D2><U+05D9><U+05D4>","hw"
"19",28,"<U+0637><U+0627><U+0642><U+0629>","ar"
"20",28,"Energy","en"
"21",29,"<U+0412><U+0435><U+0441>","ru"
"22",29,"<U+05DE><U+05E9><U+05E7><U+05DC>","hw"
"23",29,"<U+0648><U+0632><U+0646>","ar"
"24",29,"Weight","en"
"25",35,"<U+0421><U+043E><U+043B><U+043D><U+0435><U+0447><U+043D><U+0430><U+044F> <U+0441><U+0438><U+0441><U+0442><U+0435><U+043C><U+0430>","ru"
"26",35,"<U+05DE><U+05E2><U+05E8><U+05DB><U+05EA> <U+05D4><U+05E9><U+05DE><U+05E9>","hw"
"27",35,"<U+0627><U+0644><U+0645><U+062C><U+0645><U+0648><U+0639><U+0629> <U+0627><U+0644><U+0634><U+0645><U+0633><U+064A><U+0629>","ar"
"28",35,"Solar system","en"
"29",38,"<U+042D><U+0432><U+043E><U+043B><U+044E><U+0446><U+0438><U+044F>","ru"
"30",38,"<U+05D0><U+05D1><U+05D5><U+05DC><U+05D5><U+05E6><U+05D9><U+05D4>","hw"
"31",38,"<U+062A><U+0637><U+0648><U+0631>","ar"
"32",38,"Evolution","en"
"33",39,"<U+041F><U+0426><U+0420>","ru"
"34",39,"<U+062A><U+0641><U+0627><U+0639><U+0644> <U+0627><U+0644><U+0628><U+0648><U+0644><U+064A><U+0645><U+0631><U+0627><U+0632> <U+0627><U+0644><U+0645><U+062A><U+0633><U+0644><U+0633><U+0644>","ar"
"35",39,"PCR","en"
"36",39,"PCR","hw"
