"","termid","lang","num_contents","num_pics","num_references"
"1",12,"en",46,28,253
"2",12,"ar",18,4,11
"3",12,"ru",43,4,0
"4",12,"hw",13,6,0
"5",13,"en",42,33,315
"6",13,"ar",46,2,8
"7",13,"ru",53,59,0
"8",13,"hw",21,13,0
"9",16,"en",2,0,0
"10",16,"ar",13,4,0
"11",16,"ru",12,2,0
"12",16,"hw",6,0,0
"13",20,"en",9,0,37
"14",20,"ar",31,6,1
"15",20,"ru",23,6,0
"16",20,"hw",9,5,0
"17",28,"en",28,6,19
"18",28,"ar",30,3,6
"19",28,"ru",27,7,0
"20",28,"hw",9,1,0
"21",29,"en",17,6,21
"22",29,"ar",5,0,3
"23",29,"ru",6,3,0
"24",29,"hw",8,1,0
"25",35,"en",44,21,255
"26",35,"ar",41,23,65
"27",35,"ru",50,18,0
"28",35,"hw",37,29,0
"29",38,"en",41,21,381
"30",38,"ar",27,15,121
"31",38,"ru",30,14,0
"32",38,"hw",34,12,0
"33",39,"en",19,10,89
"34",39,"ar",20,8,83
"35",39,"ru",23,5,0
"36",39,"hw",8,2,0
"37",42,"en",29,9,107
"38",42,"ar",10,1,9
"39",42,"ru",23,6,0
"40",42,"hw",6,3,2
"41",43,"en",22,5,103
"42",43,"ar",8,1,2
"43",43,"ru",10,0,0
"44",43,"hw",7,2,2
"45",44,"en",27,20,284
"46",44,"ar",49,66,34
"47",44,"ru",40,35,0
"48",44,"hw",40,11,1
"49",45,"en",45,32,200
"50",45,"ar",33,37,10
"51",45,"ru",17,4,0
"52",45,"hw",8,1,0
"53",46,"en",29,9,211
"54",46,"ar",11,4,15
"55",46,"ru",23,11,0
"56",46,"hw",5,1,0
"57",47,"en",60,8,378
"58",47,"ar",13,1,5
"59",47,"ru",35,5,0
"60",47,"hw",52,9,0
"61",48,"en",28,12,84
"62",48,"ar",27,13,83
"63",48,"ru",3,1,0
"64",48,"hw",8,2,0
"65",49,"en",38,24,214
"66",49,"ar",40,19,152
"67",49,"ru",48,11,0
"68",49,"hw",22,11,0
"69",52,"en",30,10,132
"70",52,"ar",19,4,28
"71",52,"ru",15,1,0
"72",52,"hw",11,0,0
"73",53,"en",59,19,147
"74",53,"ar",24,10,44
"75",53,"ru",14,5,0
"76",53,"hw",7,1,0
"77",54,"en",69,22,234
"78",54,"ar",34,10,112
"79",54,"ru",36,1,0
"80",54,"hw",11,1,0
"81",56,"en",8,1,21
"82",56,"ar",8,1,1
"83",56,"ru",7,0,0
"84",56,"hw",4,1,0
"85",58,"en",51,28,230
"86",58,"ar",17,5,17
"87",58,"ru",24,9,0
"88",58,"hw",17,7,7
"89",59,"en",41,24,337
"90",59,"ar",21,8,57
"91",59,"ru",28,21,0
"92",59,"hw",17,1,2
"93",6,"en",23,12,56
"94",6,"ar",22,1,3
"95",6,"ru",36,26,0
"96",6,"hw",8,1,0
"97",65,"en",18,2,21
"98",65,"ar",5,1,0
"99",65,"ru",4,0,0
"100",65,"hw",7,0,0
"101",66,"en",21,13,89
"102",66,"ar",26,21,20
"103",66,"ru",11,2,0
"104",66,"hw",7,3,5
"105",68,"en",41,14,72
"106",68,"ar",13,0,9
"107",68,"ru",8,0,0
"108",68,"hw",14,1,0
"109",70,"en",30,23,37
"110",70,"ar",25,12,2
"111",70,"ru",32,10,0
"112",70,"hw",10,5,0
"113",71,"en",18,16,72
"114",71,"ar",17,2,0
"115",71,"ru",15,4,0
"116",71,"hw",7,2,1
"117",8,"en",25,16,56
"118",8,"ar",41,12,50
"119",8,"ru",6,1,0
"120",8,"hw",5,2,0
